"region","valår","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"0114 Upplands Väsby","2002",18.7,2.4,16.4,8.3,4.5,38.8,8.3,1.1,1.5
"0114 Upplands Väsby","2006",34.5,4.0,9.0,6.3,5.2,30.6,5.8,2.5,2.1
"0114 Upplands Väsby","2010",36.7,4.0,8.3,5.5,7.0,27.2,5.2,4.8,1.3
"0115 Vallentuna","2002",22.3,4.5,19.2,11.2,5.7,29.7,5.5,1.2,0.8
"0115 Vallentuna","2006",42.1,7.5,8.8,7.1,6.1,20.9,3.4,1.8,2.3
"0115 Vallentuna","2010",44.5,7.3,8.7,6.5,7.7,16.9,3.0,4.0,1.4
"0117 Österåker","2002",24.0,2.6,19.7,9.8,4.9,31.7,5.6,0.8,0.9
"0117 Österåker","2006",42.3,5.6,9.3,7.3,5.6,22.8,3.6,1.8,1.7
"0117 Österåker","2010",45.5,5.8,9.2,6.2,7.5,17.8,3.3,3.5,1.2
"0120 Värmdö","2002",24.2,2.5,18.1,8.7,5.6,32.4,7.0,0.8,0.7
"0120 Värmdö","2006",42.9,5.5,8.4,6.2,6.4,22.4,4.3,2.1,1.8
"0120 Värmdö","2010",45.9,5.8,7.6,5.4,8.6,17.6,3.6,4.1,1.3
"0123 Järfälla","2002",18.6,2.0,18.3,9.3,4.7,37.2,7.8,1.3,0.9
"0123 Järfälla","2006",34.1,4.1,9.5,6.8,5.5,30.1,5.6,2.2,2.1
"0123 Järfälla","2010",36.4,4.2,8.4,6.0,7.8,25.7,5.3,4.8,1.4
"0125 Ekerö","2002",26.1,3.8,20.4,10.5,6.4,25.8,5.2,0.8,1.0
"0125 Ekerö","2006",44.7,7.0,10.3,7.4,6.6,17.1,3.3,1.4,2.2
"0125 Ekerö","2010",47.1,7.3,9.3,7.1,8.2,13.2,3.2,3.4,1.1
"0126 Huddinge","2002",19.5,1.9,17.0,8.1,4.7,37.3,8.3,1.7,1.5
"0126 Huddinge","2006",35.2,4.2,9.1,6.2,5.4,29.1,5.7,2.7,2.3
"0126 Huddinge","2010",38.7,4.4,7.7,5.2,7.6,24.8,5.3,4.8,1.5
"0127 Botkyrka","2002",13.8,1.6,14.3,9.6,4.7,43.1,10.3,1.2,1.4
"0127 Botkyrka","2006",27.0,3.3,7.7,6.7,5.4,38.4,7.2,2.2,2.1
"0127 Botkyrka","2010",30.0,2.8,6.2,5.1,6.9,35.7,7.1,4.9,1.4
"0128 Salem","2002",19.8,2.2,18.5,9.5,5.0,36.2,6.0,1.6,1.1
"0128 Salem","2006",35.5,4.9,9.6,6.4,5.8,28.8,4.1,2.6,2.3
"0128 Salem","2010",38.6,5.7,9.2,5.4,7.8,22.6,4.0,5.2,1.4
"0136 Haninge","2002",16.1,2.0,14.7,8.1,5.0,42.0,9.0,0.9,2.3
"0136 Haninge","2006",32.6,3.9,7.9,5.9,5.5,33.3,5.9,2.3,2.8
"0136 Haninge","2010",36.8,3.9,6.9,4.5,7.3,28.0,5.0,5.7,1.9
"0138 Tyresö","2002",21.8,2.0,18.4,7.8,4.9,35.2,7.2,1.0,1.6
"0138 Tyresö","2006",38.6,4.9,9.3,5.9,6.1,26.2,4.9,1.5,2.6
"0138 Tyresö","2010",42.2,4.8,8.4,5.5,8.2,21.5,4.0,4.1,1.3
"0139 Upplands-Bro","2002",18.0,2.8,15.5,10.9,3.8,39.4,7.9,0.8,0.9
"0139 Upplands-Bro","2006",31.9,4.4,7.7,8.4,5.0,32.4,5.7,2.6,1.9
