"valår","region","Moderaterna","Centerpartiet","Folkpartiet","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"2002","Upplands Väsby",18.7,2.4,16.4,8.3,4.5,38.8,8.3,1.1,1.5
"2002","Vallentuna",22.3,4.5,19.2,11.2,5.7,29.7,5.5,1.2,0.8
"2002","Österåker",24.0,2.6,19.7,9.8,4.9,31.7,5.6,0.8,0.9
"2002","Värmdö",24.2,2.5,18.1,8.7,5.6,32.4,7.0,0.8,0.7
"2002","Järfälla",18.6,2.0,18.3,9.3,4.7,37.2,7.8,1.3,0.9
"2002","Ekerö",26.1,3.8,20.4,10.5,6.4,25.8,5.2,0.8,1.0
"2002","Huddinge",19.5,1.9,17.0,8.1,4.7,37.3,8.3,1.7,1.5
"2002","Botkyrka",13.8,1.6,14.3,9.6,4.7,43.1,10.3,1.2,1.4
"2002","Salem",19.8,2.2,18.5,9.5,5.0,36.2,6.0,1.6,1.1
"2002","Haninge",16.1,2.0,14.7,8.1,5.0,42.0,9.0,0.9,2.3
"2002","Tyresö",21.8,2.0,18.4,7.8,4.9,35.2,7.2,1.0,1.6
"2002","Upplands-Bro",18.0,2.8,15.5,10.9,3.8,39.4,7.9,0.8,0.9
"2002","Nykvarn",17.6,4.8,14.0,8.2,4.2,42.9,5.2,1.9,1.2
"2002","Täby",35.1,2.0,25.3,9.6,3.6,19.5,3.4,0.9,0.6
"2002","Danderyd",45.1,1.9,24.7,10.7,3.2,11.2,2.1,0.5,0.7
"2002","Sollentuna",24.5,2.5,21.5,9.9,4.7,29.2,5.9,1.0,0.6
"2002","Stockholm",21.0,1.8,19.5,6.6,6.8,31.4,10.9,1.0,1.0
"2002","Södertälje",14.5,3.4,12.9,9.7,6.0,42.3,7.5,0.7,3.1
"2002","Nacka",27.4,1.7,22.0,7.9,5.4,26.9,6.9,0.9,0.9
"2002","Sundbyberg",19.2,2.0,17.2,6.4,5.6,37.3,9.7,1.5,1.1
"2002","Solna",21.8,1.8,19.4,6.9,5.5,33.3,9.3,0.9,1.1
"2002","Lidingö",36.4,1.8,26.5,9.3,4.1,17.0,3.5,0.8,0.5
"2002","Vaxholm",26.3,3.6,23.1,9.7,4.9,25.7,5.7,0.6,0.5
"2002","Norrtälje",17.3,8.6,13.1,8.3,4.6,39.3,6.2,0.5,2.0
"2002","Sigtuna",20.1,3.7,15.4,9.3,4.2,38.1,6.8,1.7,0.6
"2002","Nynäshamn",15.8,3.6,13.2,8.7,4.9,42.8,8.8,1.8,0.5
"2002","Håbo",23.3,4.0,13.9,10.9,3.8,36.6,5.0,1.0,1.4
"2002","Älvkarleby",6.8,3.2,8.2,4.8,3.5,61.2,10.0,2.3,0.1
"2002","Knivsta",20.1,6.8,17.9,10.5,5.0,31.8,5.5,1.6,0.8
"2002","Heby",9.6,16.9,8.4,10.5,3.5,40.5,8.4,1.4,0.8
"2002","Tierp",8.2,12.5,8.1,7.7,3.7,50.7,7.3,1.5,0.4
"2002","Uppsala",15.1,5.1,18.6,8.9,6.9,33.7,9.4,1.5,0.9
"2002","Enköping",16.3,11.4,10.8,9.6,3.5,40.0,5.4,0.8,2.1
"2002","Östhammar",12.9,12.2,8.7,7.9,3.9,46.0,6.5,1.2,0.6
"2002","Vingåker",11.1,7.5,8.6,8.2,5.0,53.0,5.0,0.7,0.9
"2002","Gnesta",14.5,10.4,11.4,8.5,6.5,40.3,6.6,0.6,1.2
"2002","Nyköping",13.0,6.0,11.3,9.3,4.3,47.4,7.4,0.8,0.6
"2002","Oxelösund",9.8,1.9,8.8,5.9,4.7,56.2,11.7,0.5,0.5
"2002","Flen",12.1,7.5,9.3,8.7,4.5,48.1,7.5,1.0,1.2
"2002","Katrineholm",10.9,6.0,9.8,7.8,5.0,52.7,5.6,1.2,1.0
"2002","Eskilstuna",12.2,4.4,12.6,7.6,5.0,47.8,7.8,1.3,1.3
"2002","Strängnäs",18.4,5.4,16.3,9.5,4.5,38.5,5.9,0.5,1.1
"2002","Trosa",19.0,5.1,13.4,9.3,5.3,41.0,5.5,0.6,0.7
"2002","Ödeshög",12.2,14.0,5.9,18.4,4.6,38.1,5.5,0.3,1.1
"2002","Ydre",10.4,16.9,8.3,21.4,4.8,33.0,4.3,0.0,0.8
"2002","Kinda",11.1,16.3,8.1,14.4,4.2,38.5,5.8,1.0,0.5
"2002","Boxholm",7.4,11.4,5.9,9.8,3.2,53.4,7.5,0.6,0.8
"2002","Åtvidaberg",11.0,9.7,7.7,10.1,3.7,49.0,6.7,0.7,1.4
"2002","Finspång",9.7,5.7,8.3,9.6,4.0,51.6,9.5,0.9,0.6
"2002","Valdemarsvik",13.9,15.5,7.7,9.1,3.4,43.4,5.8,0.4,0.8
"2002","Linköping",16.0,5.1,15.1,10.7,5.4,38.2,7.0,0.7,1.9
"2002","Norrköping",16.7,3.8,11.6,9.1,5.1,42.3,7.8,1.4,2.2
"2002","Söderköping",19.0,10.4,10.3,11.5,5.4,35.3,5.8,1.3,1.1
"2002","Motala",10.8,5.1,10.2,9.0,4.1,49.4,7.6,0.4,3.4
"2002","Vadstena",16.7,6.8,10.2,12.0,4.8,40.7,5.3,0.6,2.8
"2002","Mjölby",12.7,8.0,9.9,10.1,3.4,46.4,7.2,0.3,2.1
"2002","Aneby",9.2,11.6,7.4,28.3,2.9,34.4,4.3,0.6,1.4
"2002","Gnosjö",12.9,6.6,7.5,30.6,1.9,34.4,3.6,1.5,0.9
"2002","Mullsjö",12.0,5.3,8.0,25.6,4.3,35.3,7.0,0.8,1.6
"2002","Habo",14.9,6.1,9.4,23.7,2.9,36.0,5.1,0.4,1.6
"2002","Gislaved",14.1,10.6,8.9,14.7,2.7,41.4,4.7,1.5,1.3
"2002","Vaggeryd",10.7,7.4,6.6,24.8,2.6,40.5,5.0,1.0,1.3
"2002","Jönköping",13.2,4.1,10.7,19.9,3.6,39.7,6.5,1.0,1.3
"2002","Nässjö",11.5,7.4,7.1,17.7,3.3,43.5,7.3,0.9,1.2
"2002","Värnamo",12.3,8.8,8.8,20.9,2.7,40.1,4.0,1.3,1.0
"2002","Sävsjö",12.9,13.6,6.0,25.6,2.2,32.6,4.5,1.4,1.3
"2002","Vetlanda",11.2,12.2,8.1,19.7,3.0,38.2,5.8,0.8,1.0
"2002","Eksjö",13.2,11.3,9.0,19.4,3.6,37.1,4.9,0.8,0.8
"2002","Tranås",13.0,5.6,8.5,17.8,3.5,43.8,6.2,0.4,1.3
"2002","Uppvidinge",10.6,15.9,6.8,9.0,2.7,43.4,8.9,2.4,0.3
"2002","Lessebo",10.1,8.1,7.5,6.5,3.6,53.2,9.4,1.2,0.4
"2002","Tingsryd",14.9,17.7,6.2,11.9,3.3,36.5,6.0,2.2,1.2
"2002","Alvesta",13.0,13.6,8.8,11.2,3.3,40.2,7.2,2.2,0.7
"2002","Älmhult",14.8,11.4,8.7,10.7,3.3,44.5,4.7,1.3,0.5
"2002","Markaryd",11.8,10.0,6.6,16.1,2.6,44.2,5.0,3.0,0.8
"2002","Växjö",15.9,7.6,12.3,10.0,4.9,38.8,8.2,1.5,0.8
"2002","Ljungby",12.2,14.4,8.5,12.9,3.9,39.5,6.5,1.2,0.9
"2002","Högsby",9.6,12.8,5.3,14.3,2.3,46.1,8.2,0.8,0.5
"2002","Torsås",13.1,19.2,6.5,12.9,3.5,39.1,4.5,0.6,0.6
"2002","Mörbylånga",15.3,13.2,10.5,12.0,3.9,37.7,6.4,0.6,0.5
"2002","Hultsfred",9.1,14.1,5.4,12.3,2.3,46.2,8.2,1.8,0.5
"2002","Mönsterås",10.4,11.5,7.0,10.2,2.9,47.8,7.9,0.9,1.4
"2002","Emmaboda",9.8,13.3,5.5,9.9,3.3,50.4,5.8,0.8,1.3
"2002","Kalmar",15.4,6.1,11.4,9.9,4.7,42.9,7.1,0.7,1.8
"2002","Nybro",10.8,11.6,7.0,11.0,2.3,46.8,7.6,0.5,2.6
"2002","Oskarshamn",12.5,5.2,8.3,13.7,3.0,47.7,8.1,1.0,0.5
"2002","Västervik",11.6,9.7,10.9,9.0,3.9,45.0,8.5,0.8,0.5
"2002","Vimmerby",11.0,18.3,6.4,12.7,3.2,41.2,6.1,0.8,0.4
"2002","Borgholm",16.0,21.3,8.7,14.5,4.0,28.6,5.7,0.5,0.8
"2002","Gotland",14.0,15.6,7.9,6.5,5.5,40.8,8.5,0.6,0.5
"2002","Olofström",8.2,6.3,9.4,9.0,2.8,51.9,8.7,3.2,0.4
"2002","Karlskrona",13.8,6.1,12.4,9.9,4.0,43.7,7.2,2.6,0.3
"2002","Ronneby",12.7,7.3,10.6,7.8,3.8,45.6,9.0,3.0,0.2
