år,region,inkomst,arbetslösa,befolkning,arbetslöshet
2002,0114 Upplands Väsby,166.6,649,37444,1.733254994
2002,0115 Vallentuna,161.6,200,25905,0.7720517275
2002,0117 Österåker,168.6,369,35633,1.035556928
2002,0120 Värmdö,162.3,344,32664,1.053147196
2002,0123 Järfälla,174.9,744,61290,1.213901126
2002,0125 Ekerö,174.2,205,22936,0.8937914196
2002,0126 Huddinge,159.1,1077,86457,1.245705958
2002,0127 Botkyrka,135.5,1439,75216,1.913156775
2002,0128 Salem,164.8,132,13875,0.9513513514
2002,0136 Haninge,153.3,1012,70902,1.427322219
2002,0138 Tyresö,168.3,434,39720,1.09264854
2002,0139 Upplands-Bro,156.2,164,21162,0.77497401
2002,0140 Nykvarn,162.1,44,8204,0.5363237445
2002,0160 Täby,210.5,601,60198,0.9983720389
2002,0162 Danderyd,256.6,215,29755,0.7225676357
2002,0163 Sollentuna,188.9,672,58515,1.148423481
2002,0180 Stockholm,179.5,13704,758148,1.807562639
2002,0181 Södertälje,145.4,1193,79613,1.498498989
2002,0182 Nacka,187.2,824,76624,1.075381082
2002,0183 Sundbyberg,176,572,33797,1.69245791
2002,0184 Solna,179.7,745,57585,1.293739689
2002,0186 Lidingö,220.7,298,41192,0.7234414449
2002,0187 Vaxholm,171.7,89,9631,0.9240992628
2002,0188 Norrtälje,141.3,590,53702,1.098655544
2002,0191 Sigtuna,159.2,538,35771,1.50401163
2002,0192 Nynäshamn,151.2,302,24528,1.231245923
2002,0305 Håbo,165,220,17864,1.231527094
2002,0319 Älvkarleby,143.7,230,8970,2.564102564
2002,0330 Knivsta,150,150,12586,1.191800413
2002,0331 Heby,122.5,159,13725,1.158469945
2002,0360 Tierp,130,334,20088,1.66268419
2002,0380 Uppsala,152.4,3384,179673,1.883421549
2002,0381 Enköping,140.9,613,37647,1.628283794
2002,0382 Östhammar,139.8,345,21827,1.58061117
2002,0428 Vingåker,129.7,213,9181,2.320008714
2002,0461 Gnesta,140.1,119,9813,1.212677061
2002,0480 Nyköping,147.7,938,49310,1.902251065
2002,0481 Oxelösund,157.4,193,11183,1.725833855
2002,0482 Flen,131.5,550,16520,3.329297821
2002,0483 Katrineholm,135,688,32381,2.124702758
2002,0484 Eskilstuna,137.8,3030,90089,3.363340696
2002,0486 Strängnäs,152.4,420,30015,1.39930035
2002,0488 Trosa,157.5,91,10514,0.8655126498
2002,0509 Ödeshög,119.7,100,5566,1.79662235
2002,0512 Ydre,119.9,37,4004,0.9240759241
2002,0513 Kinda,124,166,10014,1.657679249
