år,region,inkomst
2002,0114 Upplands Väsby,166.6
2002,0115 Vallentuna,161.6
2002,0117 Österåker,168.6
2002,0120 Värmdö,162.3
2002,0123 Järfälla,174.9
2002,0125 Ekerö,174.2
2002,0126 Huddinge,159.1
2002,0127 Botkyrka,135.5
2002,0128 Salem,164.8
2002,0136 Haninge,153.3
2002,0138 Tyresö,168.3
2002,0139 Upplands-Bro,156.2
2002,0140 Nykvarn,162.1
2002,0160 Täby,210.5
2002,0162 Danderyd,256.6
2002,0163 Sollentuna,188.9
2002,0180 Stockholm,179.5
2002,0181 Södertälje,145.4
2002,0182 Nacka,187.2
2002,0183 Sundbyberg,176
2002,0184 Solna,179.7
2002,0186 Lidingö,220.7
2002,0187 Vaxholm,171.7
2002,0188 Norrtälje,141.3
2002,0191 Sigtuna,159.2
2002,0192 Nynäshamn,151.2
2002,0305 Håbo,165
2002,0319 Älvkarleby,143.7
2002,0330 Knivsta,..
2002,0331 Heby,122.5
2002,0360 Tierp,130
2002,0380 Uppsala,152.4
2002,0381 Enköping,140.9
2002,0382 Östhammar,139.8
2002,0428 Vingåker,129.7
2002,0461 Gnesta,140.1
2002,0480 Nyköping,147.7
2002,0481 Oxelösund,157.4
2002,0482 Flen,131.5
2002,0483 Katrineholm,135
2002,0484 Eskilstuna,137.8
2002,0486 Strängnäs,152.4
2002,0488 Trosa,157.5
2002,0509 Ödeshög,119.7
2002,0512 Ydre,119.9
2002,0513 Kinda,124
2002,0560 Boxholm,129.4
2002,0561 Åtvidaberg,134.2
2002,0562 Finspång,143.5
2002,0563 Valdemarsvik,125.7
2002,0580 Linköping,152
2002,0581 Norrköping,139.6
2002,0582 Söderköping,135.1
2002,0583 Motala,138
2002,0584 Vadstena,141.6
2002,0586 Mjölby,135.1
2002,0604 Aneby,122
2002,0617 Gnosjö,145.9
2002,0642 Mullsjö,132.2
2002,0643 Habo,139.6
2002,0662 Gislaved,143.3
2002,0665 Vaggeryd,136.9
2002,0680 Jönköping,145.2
2002,0682 Nässjö,134.6
